payload_detail	payload	response	response_detail	statelist	unique_response
b'100c00044d5154540400e7fe0000669014b000340e0000dd245439647043354d32684a9250'	b'\x10\x0c\x00\x04MQTT\x04\x00\xe7\xfe\x00\x00f\x90\x14\xb0\x004\x0e\x00\x00\xdd$T9dpC5M2hJ\x92P'	b' \x02\x00\x02'	b'20020002'	[]	1
b'100e00044d5154540400c630000277629467310e0000495a53544356373670306d613433'	b'\x10\x0e\x00\x04MQTT\x04\x00\xc60\x00\x02wb\x94g1\x0e\x00\x00IZSTCV76p0ma43'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101000064d514973647003002af50002356e90330c000753677655527575b08e75740f88'	b'\x10\x10\x00\x06MQIsdp\x03\x00*\xf5\x00\x025n\x903\x0c\x00\x07SgvURuu\xb0\x8eut\x0f\x88'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101000064d5149736470030250f1000262320030030000712073410e000256404cbafc5450'	b'\x10\x10\x00\x06MQIsdp\x03\x02P\xf1\x00\x02b2\x000\x03\x00\x00q sA\x0e\x00\x02V@L\xba\xfcTP'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d51497364700300f1290003656971390b00065036556e4a6f5330775a5760'	b'\x10\x11\x00\x06MQIsdp\x03\x00\xf1)\x00\x03eiq9\x0b\x00\x06P6UnJoS0wZW`'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d51497364700302fc22000374744f300d0006714173446f353637716254659870'	"b'\x10\x11\x00\x06MQIsdp\x03\x02\xfc""\x00\x03ttO0\r\x00\x06qAsDo567qbTe\x98p'"	b' \x02\x00\x00'	b'20020000'	[]	2
b'101200064d5149736470030277a70004445032793c12000170a9515765464271455530315720'	b'\x10\x12\x00\x06MQIsdp\x03\x02w\xa7\x00\x04DP2y<\x12\x00\x01p\xa9QWeFBqEU01W '	b' \x02\x00\x00'	b'20020000'	[]	2
b'101200064d51497364700300f877000448794958310f00037762747046446a4d735776622870'	b'\x10\x12\x00\x06MQIsdp\x03\x00\xf8w\x00\x04HyIX1\x0f\x00\x03wbtpFDjMsWvb(p'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100044d5154540402d864000539424a7a613d0e00013148c837394b5a506d6161450b300b'	b'\x10\x11\x00\x04MQTT\x04\x02\xd8d\x00\x059BJza=\x0e\x00\x011H\xc879KZPmaaE\x0b0\x0b'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d5149736470030073cd0003585065330d0000b541434e6a426b444b55426a2be0'	b'\x10\x11\x00\x06MQIsdp\x03\x00s\xcd\x00\x03XPe3\r\x00\x00\xb5ACNjBkDKUBj+\xe0'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d5149736470030244090003435a6a3a0b00003bdb30493663546d3285a57c'	b'\x10\x11\x00\x06MQIsdp\x03\x02D\t\x00\x03CZj:\x0b\x00\x00;\xdb0I6cTm2\x85\xa5|'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d51497364700300de9600037958593311000142189b6e43365837386e515234f9'	b'\x10\x11\x00\x06MQIsdp\x03\x00\xde\x96\x00\x03yXY3\x11\x00\x01B\x18\x9bnC6X78nQR4\xf9'	b' \x02\x00\x00'	b'20020000'	[]	2
b'100d00044d51545404004e32000162500015603b0c000176007b4a665a4c664744837840'	b'\x10\r\x00\x04MQTT\x04\x00N2\x00\x01bP\x00\x15`;\x0c\x00\x01v\x00{JfZLfGD\x83x@'	b' \x02\x00\x00'	b'20020000'	[]	2
