payload_detail	payload	response	response_detail	statelist	unique_response
b'101000064d5149736470030085d900027373943a0c000464566d6d48da415967533554d0'	b'\x10\x10\x00\x06MQIsdp\x03\x00\x85\xd9\x00\x02ss\x94:\x0c\x00\x04dVmmH\xdaAYgS5T\xd0'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101200064d51497364700302784d000454716748390b0001613259344b4637447545671fa0'	b'\x10\x12\x00\x06MQIsdp\x03\x02xM\x00\x04TqgH9\x0b\x00\x01a2Y4KF7DuEg\x1f\xa0'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101100064d51497364700300e79a0003504c473c0b0003354631711c6a614e6402093b0b'	b'\x10\x11\x00\x06MQIsdp\x03\x00\xe7\x9a\x00\x03PLG<\x0b\x00\x035F1q\x1cjaNd\x02\t;\x0b'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101000044d515454040092f8000449435977c03c0a0005563673476d4ed472eeb04e39'	b'\x10\x10\x00\x04MQTT\x04\x00\x92\xf8\x00\x04ICYw\xc0<\n\x00\x05V6sGmN\xd4r\xee\xb0N9'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101100064d514973647003007b3c00037174673a0f00085274684136703676011a57396750'	b'\x10\x11\x00\x06MQIsdp\x03\x00{<\x00\x03qtg:\x0f\x00\x08RthA6p6v\x01\x1aW9gP'	b' \x02\x00\x00@\x02\x01\x1a'	b'200200004002011a'	[]	2
b'101200064d5149736470030027f1000451347a4d341000066e3345786439332256497a626180'	"b'\x10\x12\x00\x06MQIsdp\x03\x00\'\xf1\x00\x04Q4zM4\x10\x00\x06n3Exd93""VIzba\x80'"	"b' \x02\x00\x00P\x023""'"	b'2002000050023322'	[]	3
b'101100044d51545404007f9300057043324667300d000754753432756755624765397347c390'	b'\x10\x11\x00\x04MQTT\x04\x00\x7f\x93\x00\x05pC2Fg0\r\x00\x07Tu42ugUbGe9sG\xc3\x90'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100e00064d51497364700302d2710000c000143a12000074a034716f57584c486134556f63'	b'\x10\x0e\x00\x06MQIsdp\x03\x02\xd2q\x00\x00\xc0\x00\x14:\x12\x00\x00t\xa04qoWXLHa4Uoc'	b' \x02\x00\x02'	b'20020002'	[]	4
b'101100044d51545404007fae00054f6c706731341100036d37798dd6454668446752719547'	b'\x10\x11\x00\x04MQTT\x04\x00\x7f\xae\x00\x05Olpg14\x11\x00\x03m7y\x8d\xd6EFhDgRq\x95G'	b' \x02\x00\x00'	b'20020000'	[]	4
b'100d00044d51545404008af90001340b22003b120005476d513465e7d64954366273b3aa'	"b'\x10\r\x00\x04MQTT\x04\x00\x8a\xf9\x00\x014\x0b""\x00;\x12\x00\x05GmQ4e\xe7\xd6IT6bs\xb3\xaa'"	b' \x02\x00\x00'	b'20020000'	[]	4
