payload_detail	payload	response	response_detail	statelist	unique_response
b'101100064d5149736470030293d500034d30353d1000023439ce9265594c364e343772ae10'	b'\x10\x11\x00\x06MQIsdp\x03\x02\x93\xd5\x00\x03M05=\x10\x00\x0249\xce\x92eYL6N47r\xae\x10'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101100064d51497364700302e6ba00036c3044310a0005494c77624d365967acc2e710f0'	b'\x10\x11\x00\x06MQIsdp\x03\x02\xe6\xba\x00\x03l0D1\n\x00\x05ILwbM6Yg\xac\xc2\xe7\x10\xf0'	b' \x02\x00\x00'	b'20020000'	[]	1
b'100c00044d51545404024f9c0000487637c03011000a6b6f3774537878677936534a5564'	b'\x10\x0c\x00\x04MQTT\x04\x02O\x9c\x00\x00Hv7\xc00\x11\x00\nko7tSxxgy6SJUd'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101100064d51497364700300803900036766413b0e000168a3d05932524778473277a4310f00'	b'\x10\x11\x00\x06MQIsdp\x03\x00\x809\x00\x03gfA;\x0e\x00\x01h\xa3\xd0Y2RGxG2w\xa41\x0f\x00'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101200044d5154540402fc700006596a6778564d340c00044d58536728b14b53645556338650'	b'\x10\x12\x00\x04MQTT\x04\x02\xfcp\x00\x06YjgxVM4\x0c\x00\x04MXSg(\xb1KSdUV3\x86P'	b' \x02\x00\x00'	b'20020000'	[]	1
b'100e00044d515454040029a700025256c500003c0b00067746654d410955626aa7a0320800'	b'\x10\x0e\x00\x04MQTT\x04\x00)\xa7\x00\x02RV\xc5\x00\x00<\x0b\x00\x06wFeMA\tUbj\xa7\xa02\x08\x00'	b' \x02\x00\x00'	b'20020000'	[]	1
b'100f00044d515454040053850003305a3854350f00024648ccdf4e52787279727044330a'	b'\x10\x0f\x00\x04MQTT\x04\x00S\x85\x00\x030Z8T5\x0f\x00\x02FH\xcc\xdfNRxryrpD3\n'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101200064d514973647003000eb3000435514d53300a0005506347626d4a64353809029430'	b'\x10\x12\x00\x06MQIsdp\x03\x00\x0e\xb3\x00\x045QMS0\n\x00\x05PcGbmJd58\t\x02\x940'	b' \x02\x00\x00'	b'20020000'	[]	1
b'100e00044d51545404000f6100026a54655380350a0005457949694e2f6c365a1d08fa30'	b'\x10\x0e\x00\x04MQTT\x04\x00\x0fa\x00\x02jTeS\x805\n\x00\x05EyIiN/l6Z\x1d\x08\xfa0'	b' \x02\x00\x00'	b'20020000'	[]	1
b'100e00044d515454040241c000024c63f6d6350f0008426e594d446d506d7f0a723325a5'	b'\x10\x0e\x00\x04MQTT\x04\x02A\xc0\x00\x02Lc\xf6\xd65\x0f\x00\x08BnYMDmPm\x7f\nr3%\xa5'	b' \x02\x00\x00'	b'20020000'	[]	1
b'101100044d51545404027ec90005704c505a633d1200087264666b537576320dde45480580'	b'\x10\x11\x00\x04MQTT\x04\x02~\xc9\x00\x05pLPZc=\x12\x00\x08rdfkSuv2\r\xdeEH\x05\x80'	b' \x02\x00\x00'	b'20020000'	[]	1
b'100c00044d51545404003c30000051480d3d0c00044d746339f433363835586ce827'	"b""\x10\x0c\x00\x04MQTT\x04\x00<0\x00\x00QH\r=\x0c\x00\x04Mtc9\xf43685Xl\xe8'"""	b' \x02\x00\x02'	b'20020002'	[]	2
b'100f00044d51545404022c85000270694b00300f00086854754439473735306a48677515'	b'\x10\x0f\x00\x04MQTT\x04\x02,\x85\x00\x02piK\x000\x0f\x00\x08hTuD9G750jHgu\x15'	b''	b''	[]	3
